Y(mm),Z(mm),T(s)
0.307213786,-4.502499959,0
0.296476195,-4.521882404,0.15625
0.29345175,-4.539908482,0.3125
0.300771323,-4.544226602,0.46875
0.316178419,-4.559940533,0.625
0.321969662,-4.580868904,0.78125
0.331820118,-4.573961245,0.9375
0.344119868,-4.576121888,1.09375
0.360535822,-4.567493691,1.25
0.370043988,-4.562671696,1.40625
0.371165343,-4.566182698,1.5625
0.369707791,-4.566485902,1.71875
0.375862659,-4.564051969,1.875
0.406744942,-4.572103459,2.03125
0.410929441,-4.545879769,2.1875
0.429301651,-4.506957197,2.34375
0.451100811,-4.466306465,2.5
0.42782856,-4.474802862,2.65625
0.452422377,-4.477812425,2.8125
0.798162213,-4.222595585,2.96875
0.777111394,-4.181360957,3.125
0.49760877,-4.0925977,3.28125
0.371531868,-4.140049557,3.4375
0.239249403,-4.504057803,3.59375
0.133573044,-4.717516054,3.75
0.08082798,-4.744653336,3.90625
0.000464933,-4.753218154,4.0625
-0.011991727,-4.719075767,4.21875
-0.019561821,-4.702274709,4.375
-0.022471357,-4.690209376,4.53125
-0.013469664,-4.684052182,4.6875
0.04943926,-4.687876157,4.84375
0.290993783,-5.140553265,5
0.446269276,-4.903468997,5.15625
0.511721829,-4.661977139,5.3125
0.368447524,-3.531348241,5.46875
0.258312545,-3.652059378,5.625
0.134326264,-4.038229833,5.78125
-0.003426304,-4.140777285,5.9375
0.010121109,-4.102279912,6.09375
-0.005097668,-4.097782242,6.25
-0.002067156,-4.089471492,6.40625
0.114862712,-4.141011847,6.5625
0.532504376,-4.852864635,6.71875
0.4116586,-4.814244491,6.875
0.620322938,-3.7603418,7.03125
0.215058608,-3.3852456,7.1875
0.079662433,-3.716939503,7.34375
0.013871826,-3.721315019,7.5
0.025473576,-3.708778076,7.65625
0.007472136,-3.715435522,7.8125
0.198074987,-4.218472225,7.96875
0.499301572,-4.928485406,8.125
0.442816714,-4.807735768,8.28125
0.315365069,-3.120109234,8.4375
0.117852285,-3.50812412,8.59375
0.027344823,-3.557362761,8.75
0.040388845,-3.528185073,8.90625
0.021438925,-3.541320078,9.0625
0.230350982,-4.437364627,9.21875
0.548730768,-4.829383585,9.375
0.712803252,-4.281760319,9.53125
0.292601664,-2.962453175,9.6875
0.095044331,-3.398334454,9.84375
0.040313245,-3.37764568,10
0.043142918,-3.359549858,10.15625
0.041349005,-3.373082655,10.3125
0.588938021,-5.185507614,10.46875
0.454776968,-4.885410082,10.625
0.371583559,-3.38394909,10.78125
0.161103505,-3.336609,10.9375
0.032460108,-3.501028802,11.09375
0.042374873,-3.456989419,11.25
0.0258232,-3.464950276,11.40625
0.216689859,-4.211846049,11.5625
0.600645204,-4.865651959,11.71875
0.703885407,-4.115904458,11.875
0.305801361,-3.038103941,12.03125
0.081172362,-3.545849642,12.1875
0.036677377,-3.517841434,12.34375
0.040034497,-3.501572698,12.5
0.039578852,-3.519533154,12.65625
0.635933319,-5.042675762,12.8125
0.469736999,-4.903614985,12.96875
0.355099424,-3.199278029,13.125
0.143300311,-3.315236088,13.28125
0.038973413,-3.413899157,13.4375
0.053272541,-3.377610488,13.59375
0.037859511,-3.383892541,13.75
0.224422967,-4.250757977,13.90625
0.58755101,-4.974830099,14.0625
0.640024531,-4.252066987,14.21875
0.297421554,-2.997847426,14.375
0.08457109,-3.479083281,14.53125
0.042669456,-3.432286022,14.6875
0.055782185,-3.440278231,14.84375
0.049845711,-3.440809481,15
0.545266346,-5.026296477,15.15625
0.479315778,-4.675797405,15.3125
0.368707424,-3.351156854,15.46875
0.173393615,-3.327085154,15.625
0.047302327,-3.491520521,15.78125
0.058789636,-3.459627726,15.9375
0.036151114,-3.477168043,16.09375
0.239248677,-4.357696018,16.25
0.587674623,-4.689711611,16.40625
0.649255403,-3.978645637,16.5625
0.315147013,-3.027462076,16.71875
0.101493923,-3.530973392,16.875
0.040939009,-3.522767273,17.03125
0.042858739,-3.497985926,17.1875
0.029431507,-3.524247328,17.34375
0.595977384,-5.198668434,17.5
0.533337574,-4.752757466,17.65625
0.363558109,-3.215870342,17.8125
0.159114764,-3.323606456,17.96875
0.043114218,-3.463883128,18.125
0.050608211,-3.420189913,18.28125
0.035651701,-3.430129171,18.4375
0.192089374,-3.790218908,18.59375
0.63970598,-4.858090443,18.75
0.726497502,-4.181599628,18.90625
0.298152276,-2.984636003,19.0625
0.086037983,-3.47548859,19.21875
0.048252468,-3.453579273,19.375
0.045721586,-3.437362752,19.53125
0.046839405,-3.450495424,19.6875
0.666327122,-4.952593469,19.84375
0.467011168,-4.907589773,20
0.330515325,-3.103803314,20.15625
0.149960151,-3.416388695,20.3125
0.031283901,-3.508464139,20.46875
0.048444139,-3.473853045,20.625
0.025238986,-3.477585748,20.78125
0.262355212,-4.652038488,20.9375
0.624502237,-4.805642681,21.09375
0.677038778,-4.027113055,21.25
0.28853755,-3.028431688,21.40625
0.064075571,-3.525898183,21.5625
0.046669781,-3.488561105,21.71875
0.038694189,-3.47439954,21.875
0.06000477,-3.489437282,22.03125
0.672359313,-4.866018624,22.1875
0.533604954,-4.735462224,22.34375
0.314381928,-3.050575434,22.5
0.130210914,-3.443917382,22.65625
0.03486768,-3.497376508,22.8125
0.049045922,-3.461687955,22.96875
0.028347513,-3.467557049,23.125
0.308460167,-4.817553284,23.28125
0.62320237,-4.564883872,23.4375
0.615743187,-3.948621491,23.59375
0.269622841,-3.099714863,23.75
0.062443746,-3.52905205,23.90625
0.049892152,-3.498743139,24.0625
0.037985497,-3.492483963,24.21875
0.071566661,-3.512051895,24.375
0.62430628,-4.918260128,24.53125
0.578092031,-4.69588504,24.6875
0.301972651,-3.047396353,24.84375
0.113945982,-3.609523114,25
0.037705642,-3.596413621,25.15625
0.046649678,-3.57160855,25.3125
0.025708023,-3.575597871,25.46875
0.393484735,-5.33060802,25.625
0.632346045,-4.719980562,25.78125
0.526748416,-3.567746554,25.9375
0.22285612,-3.260145062,26.09375
0.052992046,-3.568949012,26.25
0.047542771,-3.531046526,26.40625
0.035737247,-3.530493128,26.5625
0.097710882,-3.563457448,26.71875
0.654436202,-4.905128822,26.875
0.650711184,-4.468361806,27.03125
0.299378116,-3.032427836,27.1875
0.105931336,-3.578260305,27.34375
0.035812465,-3.55964916,27.5
0.047921217,-3.528359297,27.65625
0.029319965,-3.538592741,27.8125
0.595994481,-5.36078164,27.96875
0.507331569,-4.866454113,28.125
0.379402584,-3.401651039,28.28125
0.199995526,-3.380862194,28.4375
0.035656909,-3.629560809,28.59375
0.046964978,-3.59452803,28.75
0.031165557,-3.596372219,28.90625
0.188385621,-3.899674057,29.0625
0.632069253,-4.856412921,29.21875
0.606680179,-4.222251365,29.375
0.306639592,-3.065123056,29.53125
0.088246754,-3.598866955,29.6875
0.047207542,-3.560840564,29.84375
0.040122237,-3.549069165,30
0.043355366,-3.56040218,30.15625
0.674342903,-4.979471489,30.3125
0.464762933,-4.869688617,30.46875
0.341583677,-3.1996162,30.625
0.148425123,-3.527061388,30.78125
0.037385531,-3.619887828,30.9375
0.050073375,-3.596301344,31.09375
0.028043489,-3.602656406,31.25
0.221163677,-4.167897097,31.40625
0.68624729,-4.668184612,31.5625
0.691105176,-4.11253916,31.71875
0.283250978,-2.97381756,31.875
0.082635133,-3.432750897,32.03125
0.048453196,-3.403953416,32.1875
0.046257393,-3.39390885,32.34375
0.049876022,-3.407037602,32.5
0.675690883,-4.93416168,32.65625
0.498916662,-4.781856653,32.8125
0.34442454,-3.172454564,32.96875
0.149007802,-3.415845971,33.125
0.032269171,-3.519235647,33.28125
0.050981712,-3.481626582,33.4375
0.02906225,-3.485701689,33.59375
0.226409549,-4.125383835,33.75
0.67389289,-4.685377883,33.90625
0.696502853,-4.114215898,34.0625
0.299204071,-3.008743006,34.21875
0.084126076,-3.493461534,34.375
0.044859895,-3.470931872,34.53125
0.040628793,-3.456994539,34.6875
0.04164285,-3.469032629,34.84375
0.677420293,-4.962215032,35
0.478774104,-4.829573916,35.15625
0.349595461,-3.215011196,35.3125
0.138286659,-3.462076967,35.46875
0.032932592,-3.542592766,35.625
0.047607486,-3.506588733,35.78125
0.030626419,-3.509175652,35.9375
0.304656694,-4.894743847,36.09375
0.549494397,-4.732051889,36.25
0.574567564,-3.87431846,36.40625
0.256878834,-3.108870652,36.5625
0.059820232,-3.513071108,36.71875
0.04788291,-3.477747295,36.875
0.038025174,-3.47045363,37.03125
0.073511064,-3.493232384,37.1875
0.674514047,-4.963286085,37.34375
0.589586979,-4.494502313,37.5
0.297249562,-3.015714624,37.65625
0.111069358,-3.538442458,37.8125
0.031567575,-3.529838399,37.96875
0.049153085,-3.499791161,38.125
0.028729907,-3.511909152,38.28125
0.447956677,-5.398769914,38.4375
0.648486168,-4.667719715,38.59375
0.493336244,-3.514314404,38.75
0.220655371,-3.272885577,38.90625
0.040336145,-3.59852515,39.0625
0.045707594,-3.554968329,39.21875
0.03301582,-3.547954748,39.375
0.088639724,-3.571416811,39.53125
0.701385297,-4.818350916,39.6875
0.611914587,-4.476657348,39.84375
0.283138281,-2.955597833,40
0.101346275,-3.453714114,40.15625
0.041276541,-3.432040803,40.3125
0.050267925,-3.401002054,40.46875
0.033108734,-3.408599189,40.625
0.473515152,-5.356485232,40.78125
0.577237615,-4.672976041,40.9375
0.468073182,-3.567664297,41.09375
0.191262185,-3.249709617,41.25
0.046033089,-3.484015298,41.40625
0.046547362,-3.449535152,41.5625
0.031998355,-3.44549163,41.71875
0.134050794,-3.528185629,41.875
0.698920241,-4.797333819,42.03125
0.616832353,-4.235749769,42.1875
0.294835567,-3.011887829,42.34375
0.080164305,-3.533659022,42.5
0.040369917,-3.479354909,42.65625
0.042802558,-3.464183535,42.8125
0.034155008,-3.471622943,42.96875
0.642146214,-5.063555272,43.125
0.527396521,-4.774723353,43.28125
0.339171502,-3.102419661,43.4375
0.152935846,-3.345208142,43.59375
0.035857238,-3.464857102,43.75
0.053356524,-3.428239541,43.90625
0.031012708,-3.435872341,44.0625
0.269942984,-4.624133626,44.21875
0.555730262,-4.640860724,44.375
0.559934723,-3.906925393,44.53125
0.26670499,-3.108650046,44.6875
0.054406051,-3.553207684,44.84375
0.047581571,-3.516173074,45
0.039222853,-3.513513443,45.15625
0.067160786,-3.534258951,45.3125
0.66931325,-4.769601037,45.46875
0.607270074,-4.520000243,45.625
0.296422235,-3.016398909,45.78125
0.110301504,-3.55707666,45.9375
0.037059149,-3.529307547,46.09375
0.05363904,-3.515153869,46.25
0.031025898,-3.521124529,46.40625
0.517131676,-5.229046625,46.5625
0.536306692,-4.713785163,46.71875
0.362129764,-3.284477771,46.875
0.191256885,-3.331343782,47.03125
0.04136647,-3.537791181,47.1875
0.053348369,-3.507766331,47.34375
0.031763613,-3.504118315,47.5
0.156355248,-3.635066625,47.65625
0.688708973,-4.670019664,47.8125
0.724670333,-4.191695646,47.96875
0.296620001,-3.005986261,48.125
0.083441059,-3.521982014,48.28125
0.046521906,-3.485111317,48.4375
0.04574679,-3.476037175,48.59375
0.053824351,-3.488876799,48.75
0.655036036,-4.708744161,48.90625
0.541023909,-4.624243502,49.0625
0.308657747,-3.037561264,49.21875
0.127209546,-3.510309948,49.375
0.033399589,-3.537665293,49.53125
0.055532288,-3.49734511,49.6875
0.030564988,-3.507280068,49.84375
0.405871901,-5.358955154,50
0.575820515,-4.778543858,50.15625
0.451420382,-3.586819228,50.3125
0.241277186,-3.211289615,50.46875
0.047169341,-3.564886027,50.625
0.047968819,-3.536644918,50.78125
0.031124021,-3.532973922,50.9375
0.097028296,-3.554566148,51.09375
0.713061524,-4.726644247,51.25
0.655262024,-4.347491028,51.40625
0.288188663,-3.033766067,51.5625
0.091664623,-3.581507397,51.71875
0.039853086,-3.560445101,51.875
0.04067826,-3.541922416,52.03125
0.03722389,-3.550661903,52.1875
0.712316808,-4.847405149,52.34375
0.592765024,-4.586372188,52.5
0.310696488,-3.03650121,52.65625
0.13428655,-3.417072192,52.8125
0.029243351,-3.494349667,52.96875
0.047371348,-3.455396425,53.125
0.026976204,-3.458060517,53.28125
0.322934076,-4.930491857,53.4375
0.615257313,-4.69280836,53.59375
0.516740265,-3.722037048,53.75
0.218110286,-3.214907183,53.90625
0.045589179,-3.529814211,54.0625
0.05073738,-3.493736953,54.21875
0.031023353,-3.491730204,54.375
0.10449206,-3.518815835,54.53125
0.677072509,-4.83914727,54.6875
0.664889583,-4.243980104,54.84375
0.289232591,-3.081325718,55
0.08339797,-3.618244167,55.15625
0.036644057,-3.591075727,55.3125
0.038180338,-3.569674123,55.46875
0.024101468,-3.586318699,55.625
0.560474208,-5.388986601,55.78125
0.617759978,-4.726767882,55.9375
0.362818719,-3.303757075,56.09375
0.163336748,-3.34890768,56.25
0.031616805,-3.490031233,56.40625
0.050070616,-3.454192056,56.5625
0.023465909,-3.460872389,56.71875
0.197616668,-3.844016673,56.875
0.677749494,-4.692274678,57.03125
0.672756719,-4.163138157,57.1875
0.305664277,-3.094682809,57.34375
0.093654228,-3.636800938,57.5
0.031620561,-3.620112201,57.65625
0.03657714,-3.594607368,57.8125
0.022099905,-3.608888626,57.96875
0.60772058,-5.179519575,58.125
0.604770588,-4.609822359,58.28125
0.357362356,-3.297105474,58.4375
0.15224937,-3.406707752,58.59375
0.029890428,-3.54462485,58.75
0.045521254,-3.507323876,58.90625
0.023994746,-3.505946356,59.0625
0.165718646,-3.699146429,59.21875
0.696287022,-4.704414004,59.375
0.638374758,-4.233312427,59.53125
0.286897765,-2.978196724,59.6875
0.069779402,-3.447733758,59.84375
0.041921936,-3.401802437,60
0.041888801,-3.378597387,60.15625
0.03895421,-3.397901069,60.3125
0.704818655,-4.950946706,60.46875
0.575507107,-4.632292043,60.625
0.314194062,-3.12341303,60.78125
0.124345453,-3.492500718,60.9375
0.02807686,-3.549595059,61.09375
0.04441712,-3.512586692,61.25
0.019732462,-3.515139744,61.40625
0.263292222,-4.64897629,61.5625
0.704225344,-4.629438103,61.71875
0.592527856,-3.773685955,61.875
0.291726399,-3.058268036,62.03125
0.052665604,-3.564182333,62.1875
0.038234685,-3.523818026,62.34375
0.030026681,-3.506081683,62.5
0.043710389,-3.521700214,62.65625
0.700519566,-4.84611043,62.8125
0.558116499,-4.560040185,62.96875
0.301836651,-3.221437023,63.125
0.110994161,-3.632176779,63.28125
0.017075921,-3.666126698,63.4375
0.033651474,-3.632250246,63.59375
0.00567409,-3.629772623,63.75
0.327868896,-4.962933389,63.90625
0.682402556,-4.614853782,64.0625
0.584701504,-3.654303054,64.21875
0.26376098,-3.138755324,64.375
0.042196954,-3.558653078,64.53125
0.034038235,-3.525276613,64.6875
0.02197482,-3.518281102,64.84375
0.050743029,-3.537940164,65
